name,place,owner,content
東大謎解きカフェ,理学部1号館,来夢の会,エンタメ/ゲーム、パズル
ますらぼ,経済学研究科棟,理学部数学科,学術/展示
バルーンアートの森,国際学術総合研究棟,バルーンアート同好会,エンタメ/展示
べびぶる交流会&ミニライブ,法文1号館(西),Baby blue eyes,パフォーマンス/ダンス
大豆ミート de ジャージャー麺,法文1号館(西),あぐりえこん。,飲食/お食事系
Stage Project,工学部広場ステージ,Indian Student Association,パフォーマンス/ダンス
東大芸研短編演劇企画,教育学部棟,芸能研究科,パフォーマンス/ショー
東京大学文芸サークル合同会誌即売会,工学部6号館横2,文芸サークル連合,学術/展示
東大医学部たこ焼き灯誓園,医学部広場A1,鉄門灯誓会,飲食/お食事系
あんぷらスイーツ,農学部通りB3,アンプラグド,飲食/スイーツ
TSG LIVE! 16,工学部3号館,理論科学グループ,学術/講演会、発表
ATP合成所,工学部広場G6,バイオエンジニアリング専攻,飲食/スイーツ
ゆく都市くる都市,工学部14号館,工学部都市工学科都市計画コース,学術/展示
東京大学運動会躰道部演武会,七徳堂,躰道部,パフォーマンス/スポーツ、武道
古本市,法文1号館,生協学生委員会,学術/展示
GOROの部屋,工学部14号館,オセロサークルGORO,エンタメ/ゲーム、パズル
東大アニメフェス,工学部8号館,アニメ研究ゼミ,エンタメ/展示
ストリートダンスショー,銀杏並木西,Slinky Yugo,パフォーマンス/ダンス
翔べ！はしまき,工学部広場F3,ホノルルマラソンを走る会,飲食/お食事系
百瀬帆南トークショー in 東大,理学部4号館,アニメーション研究会,パフォーマンス/ショー
SASの牛串,銀杏並木D8,SAS,飲食/軽食
盆踊りin東大,理学部スペース,盆踊りサークル,パフォーマンス/ダンス
政策パネルディスカッション,工学部14号館,GEIL,学術/講演会、発表
キックターゲット,工学部2号館前4,ア式蹴球部,エンタメ/ゲーム、パズル
旧約酒場,農学部1号館,幻想郷,飲食/酒類
広島お好み焼き,銀杏並木A3,Hiroshima UT-Link,飲食/お食事系
東京大学運動会空手部　大演武会,七徳堂,空手部,パフォーマンス/スポーツ、武道
第3回東大本郷レベル模試,経済学研究科棟,作問サークル,学術/体験
UNISON SQUARE GARDEN,セントラルステージ,定演ユニゾン,音楽/バンド
オレオ・デ・アモール,西片門前A3,理科一類9組,飲食/スイーツ
オリジナルロボットで遊ぼう,工学部2号館,RoboTech,学術/体験
さつまいもブリュレ,三四郎坂A1,IMOPROJECT,飲食/スイーツ
Physics Lab.2026,理学部1号館,Physics Lab.2026,学術/展示
システム創成ジ,農学部通りB7,工学部システム創成学科C,飲食/軽食
東大の木で！森を考える工作体験,工学部8号館,鴨田ゼミ,学術/体験
